Sl. No.,Name,Total Number of Inhabited Villages as per Census 2011,Number of Inhabited Villages with Mobile Connectivity as per 2020 Data,Number of Uncovered Villages,Divison
1,Andaman & Nicobar Islands,396,245,151,UT
2,Andhra Pradesh,16158,14371,1787,State
3,Arunachal Pradesh,5258,3035,2223,State
4,Assam,25372,24756,616,State
5,Bihar,39073,38828,245,State
6,Chandigarh,5,5,0,UT
7,Chhattisgarh,19567,17720,1847,State
8,Dadra & Nagar Haveli and Daman & Diu,84,84,0,UT
9,Goa,320,292,28,State
10,Gujarat,17843,17331,512,State
11,Haryana,6642,6642,0,State
12,Himachal Pradesh,17882,17499,383,State
13,Jammu & Kashmir,6101,5947,154,State
14,Jharkhand,29492,28348,1144,State
15,Karnataka,27397,26956,441,State
16,Kerala,1017,1017,0,State
17,Ladakh,236,172,64,UT
18,Lakshadweep,6,5,1,UT
19,Madhya Pradesh,51929,49317,2612,State
20,Maharashtra,40959,38631,2328,State
21,Manipur,2515,2052,463,State
22,Meghalaya,6459,4785,1674,State
23,Mizoram,704,498,206,State
24,Nagaland,1400,1256,144,State
25,NCT of Delhi,103,103,0,UT
26,Odisha,47677,41578,6099,State
27,Puducherry,90,90,0,UT
28,Punjab,12168,12168,0,State
29,Rajasthan,43264,42323,941,State
30,Sikkim,425,415,10,State
31,Tamil Nadu,15049,15000,49,State
32,Telangana,10128,9975,153,State
33,Tripura,863,832,31,State
34,Uttar Pradesh,97813,97486,327,State
35,Uttarakhand,15745,15319,426,State
36,West Bengal,37478,37470,8,State
Total,Total,597618,572551,25067,
